0.3108055640397782,21323.68547748341,0.45
0.38587454508746205,20424.0846098493,0.475
0.44117327314424043,19877.2577380428,0.5
0.5024046301425173,19212.78776615293,0.525
0.5517655524437141,18822.97366554675,0.55
0.612986555813821,18237.243035890830,0.575
0.6722196625752576,17769.46611516339,0.6
0.7274976833756962,17380.11792782485,0.625
0.778830971843307,16990.459131641200,0.65
0.8400209143289019,16640.94652868731,0.675
0.8913386723542589,16369.39674585464,0.7
0.9466011627124425,16098.15757186711,0.725
0.9860743701111446,15904.41530473316,0.75
